	(1)	(2)	(3)	(4)	(5)	(6)
	R1	R2	R3	R4	R5	R6
VARIABLES	lnPremium	lnPremium	lnPremium	lnPremium	lnPremium	lnPremium
						
	(0.117)	(0.0988)	(0.0933)	(0.289)	(0.130)	(0.127)
_IstaXyea_5_2007	-0.0386	-0.135	-0.129	-0.127	-0.152	-0.148
	(0.139)	(0.112)	(0.102)	(0.256)	(0.150)	(0.151)
_IstaXyea_5_2008	-0.0347	-0.155*	-0.165*	-0.0922	-0.186*	-0.202**
	(0.135)	(0.0903)	(0.0862)	(0.246)	(0.0941)	(0.0906)
_IstaXyea_5_2009	0.0813	-0.0320	-0.0453	0.161	0.0560	0.0448
	(0.0943)	(0.0652)	(0.0604)	(0.243)	(0.101)	(0.100)
_IstaXyea_5_2010	0.0860	-0.00789	0.0101	0.186	0.0930	0.0946
	(0.0884)	(0.0646)	(0.0573)	(0.232)	(0.0882)	(0.0899)
_IstaXyea_6_2007	-0.00770	-0.0780	-0.0626	-0.00849	-0.118	-0.133
	(0.113)	(0.0857)	(0.0799)	(0.162)	(0.0901)	(0.0893)
_IstaXyea_6_2008	-0.0592	-0.147	-0.133	-0.0491	-0.221**	-0.235**
	(0.121)	(0.0920)	(0.0917)	(0.253)	(0.0934)	(0.0893)
_IstaXyea_6_2009	0.0349	-0.0521	-0.0432	0.144	-0.0462	-0.0409
	(0.0981)	(0.0769)	(0.0759)	(0.249)	(0.101)	(0.100)
_IstaXyea_6_2010	-0.0313	-0.0782	-0.0672	0.127	-0.0693	-0.0667
	(0.0903)	(0.0687)	(0.0664)	(0.239)	(0.0787)	(0.0780)
_IstaXyea_7_2007	-0.0636	-0.143*	-0.128	-0.0810	-0.193***	-0.185**
	(0.116)	(0.0812)	(0.0822)	(0.114)	(0.0689)	(0.0716)
_IstaXyea_7_2008	-0.0709	-0.167**	-0.166*	-0.0796	-0.258***	-0.237***
	(0.127)	(0.0818)	(0.0854)	(0.198)	(0.0852)	(0.0876)
_IstaXyea_7_2009	-0.0965	-0.178**	-0.168**	0.0306	-0.152	-0.129
	(0.104)	(0.0722)	(0.0741)	(0.217)	(0.102)	(0.109)
_IstaXyea_7_2010	-0.138	-0.202***	-0.176**	0.0160	-0.171**	-0.120
	(0.0986)	(0.0667)	(0.0730)	(0.202)	(0.0808)	(0.103)
_IstaXyea_8_2007	-0.148	-0.209**	-0.204**	-0.221	-0.265***	-0.233***
	(0.112)	(0.0860)	(0.0847)	(0.146)	(0.0757)	(0.0712)
_IstaXyea_8_2008	-0.277**	-0.356***	-0.339***	-0.281	-0.438***	-0.412***
	(0.129)	(0.108)	(0.111)	(0.177)	(0.0621)	(0.0587)
_IstaXyea_8_2009	-0.207*	-0.265**	-0.247***	-0.0326	-0.206***	-0.166**
	(0.107)	(0.101)	(0.0925)	(0.192)	(0.0688)	(0.0738)
_IstaXyea_8_2010	-0.113	-0.181*	-0.168**	0.0283	-0.196***	-0.190***
	(0.0949)	(0.0932)	(0.0822)	(0.188)	(0.0680)	(0.0514)
_IstaXyea_9_2007	-0.0286	-0.106*	-0.116**	-0.120**	-0.235**	-0.230**
	(0.0868)	(0.0552)	(0.0539)	(0.0597)	(0.0945)	(0.0954)
_IstaXyea_9_2008	-0.144	-0.230***	-0.250***	-0.295***	-0.433***	-0.415***
	(0.0977)	(0.0679)	(0.0642)	(0.109)	(0.0909)	(0.0927)
_IstaXyea_9_2009	-0.212***	-0.300***	-0.322***	-0.201	-0.355***	-0.341***
	(0.0748)	(0.0675)	(0.0614)	(0.132)	(0.0813)	(0.0834)
_IstaXyea_9_2010	-0.296***	-0.367***	-0.356***	-0.317**	-0.476***	-0.454***
	(0.0817)	(0.0614)	(0.0521)	(0.122)	(0.0943)	(0.0899)
_IstaXyea_10_2007	-0.0976**	-0.102**	-0.130***	-0.0958*	-0.0881	-0.0853
	(0.0406)	(0.0454)	(0.0461)	(0.0544)	(0.0586)	(0.0606)
_IstaXyea_10_2008	-0.117*	-0.136*	-0.138*	-0.310***	-0.281***	-0.274***
	(0.0667)	(0.0691)	(0.0716)	(0.0702)	(0.0549)	(0.0522)
_IstaXyea_10_2009	-0.190***	-0.207***	-0.210***	-0.216	-0.210*	-0.192
	(0.0474)	(0.0459)	(0.0475)	(0.133)	(0.109)	(0.120)
_IstaXyea_10_2010	-0.278***	-0.259***	-0.267***	-0.337***	-0.316***	-0.320***
	(0.0552)	(0.0710)	(0.0743)	(0.0928)	(0.0795)	(0.0829)
_IstaXyea_11_2007	0.0498	-0.0295	-0.0327	0.414	0.207	0.189
	(0.154)	(0.114)	(0.104)	(0.329)	(0.202)	(0.209)
_IstaXyea_11_2008	0.0396	-0.0363	-0.0458	0.507	0.151	0.157
	(0.169)	(0.124)	(0.116)	(0.501)	(0.287)	(0.259)
_IstaXyea_11_2009	0.0803	0.00619	-0.00404	0.694	0.311	0.292
	(0.145)	(0.0971)	(0.0932)	(0.520)	(0.305)	(0.277)
_IstaXyea_11_2010	0.0977	0.0570	0.0476	0.771	0.408	0.432
	(0.139)	(0.0950)	(0.0911)	(0.500)	(0.283)	(0.276)
_IstaXyea_12_2007	0.0295	-0.0320	-0.0217	0.129	0.0399	0.0397
	(0.115)	(0.0842)	(0.0748)	(0.175)	(0.0984)	(0.107)
_IstaXyea_12_2008	0.0329	-0.0338	-0.0274	0.231	0.0404	0.0617
	(0.120)	(0.0863)	(0.0847)	(0.324)	(0.131)	(0.143)
_IstaXyea_12_2009	0.0547	-0.0200	-0.0125	0.406	0.183	0.216
	(0.0896)	(0.0685)	(0.0604)	(0.342)	(0.143)	(0.155)
_IstaXyea_12_2010	0.0419	-0.00191	0.0172	0.400	0.171	0.216
	(0.0828)	(0.0514)	(0.0513)	(0.338)	(0.143)	(0.160)
_IstaXyea_13_2007	0.00521	-0.0866	-0.0686	-0.0506	-0.156**	-0.151**
	(0.0888)	(0.0589)	(0.0574)	(0.0685)	(0.0686)	(0.0682)
_IstaXyea_13_2008	-0.0365	-0.135*	-0.136*	-0.171*	-0.354***	-0.336***
	(0.106)	(0.0764)	(0.0779)	(0.101)	(0.0742)	(0.0723)
_IstaXyea_13_2009	-0.0801	-0.174**	-0.168***	-0.0864	-0.256***	-0.228***
	(0.0750)	(0.0669)	(0.0620)	(0.121)	(0.0851)	(0.0853)
_IstaXyea_13_2010	-0.157**	-0.272***	-0.253***	-0.181*	-0.353***	-0.330***
	(0.0636)	(0.0534)	(0.0455)	(0.103)	(0.106)	(0.102)
